web-scraper-order,web-scraper-start-url,Name,Duration,Date,Review,Rating,Likes,pages ,pages -href
1686669267-1,https://www.drugs.com/comments/atorvastatin/?search=&sort_reviews=top#reviews,JTano,Taken for 1 to 6 months,6-Jun-20,"Lipitor (atorvastatin) for High Cholesterol 							""So I went to the doctor for peripheral neuropathy and back spasms.  She does my bloodwork and my cholesterol is extremely high.  She puts me on generic Lipitor and it made my back spasms even worse.  Now my upper back has a tremor that still hasn't gone away even after quitting the drug 2 months ago.  I have loss strength in my legs and I  have terrible short term memory. It would give me dizzy spells and I just felt sick all the time.  I'm still recovering from it and I told my doctor I quit taking it because it was making me shake. Now she wants me to start taking it again, but I'm not going to,""",10-Jan,375,,
1686669267-2,https://www.drugs.com/comments/atorvastatin/?search=&sort_reviews=top#reviews,Marty,Taken for 1 to 6 months,5-Jun-20,"Lipitor (atorvastatin) for High Cholesterol 							""After taking Lipitor for a few weeks I developed pain in both my legs ,arms and shoulders . After three months all my muscles were heavy and under powered I could hardly exercise .  I stopped taking Lipitor and some three months later I am nearly back to normal!",,,,
"Don’t take these drugs because it defeats the object . You need to exercise to reduce cholesterol however these drugs prevent you from doing so!!!!""""""",10-Jan,299,,,,,,,
1686669267-3,https://www.drugs.com/comments/atorvastatin/?search=&sort_reviews=top#reviews,Anonymous,Taken for 2 to 5 years,30-Aug-19,"Lipitor (atorvastatin) for High Cholesterol 							""Delayed side effects. Took years to realize statins give MEMORY LOSS BIG TIME and muscle pain and mood issues. And now discovering risk from high LDL is massively exaggerated. Having sufficient HDL is what matters. IF YOU KNOW SOMEONE LOSING MEMORY ASK THEM TO THINK BACK IF IT STARTED GETTING WORSE WITHIN A YEAR OF STARTING STATINS. Someone once did that for me. """,10-Jan,302,,
1686669267-4,https://www.drugs.com/comments/atorvastatin/?search=&sort_reviews=top#reviews,Rossy,1-Apr-19,,"Lipitor (atorvastatin) for High Cholesterol 							""How is this stuff legal?  5 urgent care and 2 ER trips, and no one related the Lipitor to my pains. I had severe muscle cramps everywhere.  Deep excruciating pain in glute muscles that had me in physical therapy.  Itching and tingling on face and extremities.  Sharp pain in various muscles that concludes with lasting aches and difficulty with motion. Fatigue too.  Been on for over a year then looked up side effects and called my doctor. Took statin specific blood test and have to have test to see if my muscle fibers have broken down. I'm a walking side effect commercial...and it's not fun.""",10-Jan,308,,
1686669267-5,https://www.drugs.com/comments/atorvastatin/?search=&sort_reviews=top#reviews,WJV,27-Jan-20,,"Lipitor (atorvastatin) for High Cholesterol 							""I took Lipitor for three weeks. Three days into the treatment I had left knee and hip pain. I continued to take for another 2 and a half weeks in hopes the issues would resolve. My cholesterol was normal on a retest. However the extreme pain in my hip, groin and knee caused a severe limp. I stopped taking the drug and it took me 3 months and daily CoQ10 supplements to return my leg to normal. Since then I have gone on a diet, lost 10 pounds, eliminated white sugar and red meat from my diet. Hope that's enough. I would not recommend statins for anyone!""",10-Jan,222,,
1686669267-6,https://www.drugs.com/comments/atorvastatin/?search=&sort_reviews=top#reviews,Larrio,Taken for 1 to 6 months,14-Aug-19,"Lipitor (atorvastatin) for High Cholesterol 							""I took  lipitor for three months, then went thru a unbelievably hard time for 3 years due to side effects.  I had myopathy ,neuropathy, rashes, upset stomach, extreme muscle pain, E D ,. Pyronnies, constipation, arthritis, short term memory loss, could not lift my arms above my head and horrible fatigue.""",10-Jan,230,,
1686669267-7,https://www.drugs.com/comments/atorvastatin/?search=&sort_reviews=top#reviews,k jac...,Taken for 1 to 6 months,8-Apr-21,"For High Cholesterol 							""Been taking 10 mg for 6 months? Edema in legs and feet so sore I can barely walk. Had this similar reactions s couple years ago, and all symptoms went away quickly when I stopped meds. Statins sneak up slowly on me, side effects took some time to develop, but I finally figured it out. Within 2 days of stopping statin my edema went away, and much of the foot pain. Been 5 days now and hoping there is no permanent damage. This is bad for my body IMO, so don't wait for your doctors to admit this drug might be the problem. I suspect the incidence of bad effects is way under reported.""",10-Jan,130,,
1686669267-8,https://www.drugs.com/comments/atorvastatin/?search=&sort_reviews=top#reviews,Rob,23-Aug-19,,"For High Cholesterol 							""I was put on 20mg of Atorvastatin in April 2019 by a new Cardiologist. I started to feel fatigued the first week and lowered the dose to 10mg (split the pill). ",,,,
"I was checked recently and my LDL was lower from 147 to 121mg/dL.  The last few months the side effects have started to really cause me problems, severe leg muscle cramps and pain in my upper arms. In the morning I find that my voice is very hoarse and this is starting to affect my speech pattern. I asked my own PCP about the side effects and all he could tell me that there are no other known remedies for lowering one's cholesterol??",,,,,,,,,
